STUDENT ID,Student_Age,Sex,Graduated High-School Type,Scholarship Type,Additional Work,Sports Activity,Transportation,Weekly Study Hours,Attendance,Reading,Notes,Listening in Class,Project Work,Grade
S00001,23,Male,Specialized,Need-based,No,Yes,Other,30,69.64,82,81,82,No,40
S00002,20,Female,Private,Need-based,Yes,No,Walk,14,51.8,4,44,23,Yes,14
S00003,21,Male,Public,Merit-based,No,Yes,Bus,20,70.1,86,94,19,Yes,27
S00004,23,Female,Private,Merit-based,No,No,Bike,7,82.1,46,4,85,Yes,99
S00005,19,Female,Specialized,Merit-based,Yes,No,Walk,39,85.09,1,50,10,No,27
S00006,24,Male,Specialized,Need-based,Yes,No,Walk,35,74.64,42,96,27,No,49
S00007,21,Female,Specialized,Merit-based,No,Yes,Other,37,76.25,3,57,19,No,32
S00008,21,Female,Specialized,Athletic,Yes,No,Other,5,83.63,80,92,68,Yes,43
S00009,23,Male,Private,Need-based,No,Yes,Bike,16,72.47,94,2,62,Yes,54
S00010,18,Male,Public,Athletic,No,No,Other,39,63.18,62,22,57,Yes,85
S00011,19,Male,Private,Athletic,Yes,Yes,Walk,35,61.15,58,9,39,Yes,8
S00012,23,Male,Public,Merit-based,Yes,Yes,Bike,27,87.64,29,46,6,No,35
S00013,19,Female,Specialized,Need-based,No,No,Bike,22,74.38,1,31,85,No,69
S00014,19,Male,Public,Merit-based,No,No,Car,30,81.2,87,47,36,No,1
S00015,24,Male,Specialized,Merit-based,No,Yes,Walk,10,73.56,73,26,28,No,42
S00016,21,Male,Private,Merit-based,No,Yes,Walk,19,90.94,91,35,75,No,25
S00017,20,Male,Public,Need-based,No,No,Other,31,74.84,42,87,92,Yes,68
S00018,24,Male,Private,Need-based,No,No,Walk,16,99.4,95,53,35,Yes,22
S00019,24,Female,Specialized,Merit-based,Yes,No,Other,37,62.13,96,19,34,Yes,59
S00020,19,Male,Private,Athletic,Yes,Yes,Walk,5,56.93,17,2,21,Yes,5
S00021,22,Female,Specialized,Athletic,Yes,No,Car,0,68.68,23,68,17,Yes,60
S00022,21,Male,Specialized,Need-based,No,Yes,Walk,36,95.93,36,2,56,No,64
S00023,18,Male,Specialized,None,No,No,Car,3,92.62,29,39,85,Yes,98
S00024,24,Male,Private,Merit-based,Yes,No,Walk,30,62.37,68,59,82,Yes,40
S00025,20,Male,Private,Merit-based,Yes,No,Walk,10,79.98,58,69,33,No,96
S00026,22,Male,Public,None,Yes,Yes,Bus,16,79.45,22,78,72,No,25
S00027,22,Male,Public,Need-based,No,Yes,Walk,6,64.67,29,69,73,No,88
S00028,18,Male,Private,Athletic,No,Yes,Car,34,61.77,67,22,82,No,12
S00029,24,Male,Private,Need-based,No,Yes,Bike,1,69.5,40,59,8,No,80
S00030,20,Female,Private,Athletic,Yes,No,Car,39,89.43,50,29,50,Yes,15
S00031,21,Male,Private,Athletic,Yes,No,Walk,36,59.59,87,38,27,Yes,43
S00032,17,Female,Specialized,Need-based,Yes,No,Other,36,72.29,66,39,93,Yes,29
S00033,20,Male,Specialized,Merit-based,No,Yes,Bus,9,74.08,14,47,24,No,1
S00034,18,Female,Specialized,Merit-based,Yes,Yes,Other,11,96.96,55,84,81,Yes,67
S00035,22,Male,Private,Merit-based,Yes,No,Bus,16,65.18,64,44,51,Yes,76
S00036,21,Male,Specialized,Athletic,No,No,Bus,25,50.98,73,36,25,Yes,37
S00037,20,Male,Specialized,Merit-based,No,Yes,Other,4,84.69,89,21,18,Yes,80
S00038,17,Female,Public,Athletic,Yes,Yes,Walk,4,87.79,54,51,90,No,22
S00039,17,Female,Public,Merit-based,No,Yes,Car,37,85.15,75,1,99,No,28
S00040,19,Female,Specialized,Need-based,Yes,Yes,Other,26,85.04,64,13,67,No,56
S00041,19,Female,Specialized,None,No,No,Bike,4,74.16,1,17,48,Yes,56
S00042,23,Male,Specialized,Athletic,No,Yes,Bus,7,50.93,10,49,25,No,72
S00043,18,Male,Private,Need-based,No,No,Car,30,86.5,75,14,44,Yes,14
S00044,24,Male,Public,Athletic,No,No,Bike,32,96.83,91,36,66,Yes,65
S00045,20,Female,Public,Athletic,No,No,Car,20,57.87,96,1,99,Yes,92
S00046,20,Male,Public,Need-based,No,Yes,Walk,34,53.4,41,83,6,No,97
S00047,24,Female,Specialized,Merit-based,Yes,No,Bike,20,63.26,2,73,9,No,80
S00048,23,Female,Private,Athletic,Yes,No,Other,14,92.49,40,68,67,No,77
S00049,22,Female,Public,None,Yes,No,Car,35,55.31,48,31,6,No,78
S00050,22,Female,Public,None,No,Yes,Other,1,85.76,82,65,21,Yes,89
S00051,23,Female,Private,Need-based,No,No,Other,29,53.15,81,56,93,Yes,97
S00052,22,Male,Specialized,None,Yes,No,Car,27,51.64,36,60,85,Yes,66
S00053,19,Female,Specialized,Need-based,Yes,No,Car,16,94.57,91,4,52,Yes,17
S00054,20,Female,Public,Need-based,Yes,Yes,Bus,19,88.53,94,84,28,No,99
